Stacja,Rok,Mies,Abs_Temp_Maks,Srd_Temp_Maks,Abs_Temp_Min,Srd_Temp_Min,Srd_Temp,Min_Temp_Grunt,Suma_Opad,Maks_Dob_Sum_Opad,Suma_Slonce,Maks_Pokryw_Snieg,Dni_z_Snieg,Dni_Z_Deszcz,Dni_Z_Snieg,Dni_DeszczISnieg,Dni_Grad,Dni_Mgla,Dni_Zamglen,Dni_Sadz,Dni_Gololedz,Dni_Zamiec_Niska,Dni_Zamiec_Wysoka,Dni_Zmetnienie,Dni_Wiatr,Dni_Big_Waitr,Dni_Burza,Dni_Rosa,Dni_Szron,Zachmurz,Wiatr,Sred_Cisnienie_Pary,Sred_Wilgot,Sred_Cisn,Sred_Cisn_PoziomMorza,Suma_Opadu_Dzien,Suma_Opadu_Noc
LUBLIN-RADAWIEC,2018,1,8.6,2.0,-10.7,-2.6,-.3,-10.9,25.7,4.9,42.0,12,12,6,8,3,0,6,25,0,2,2,1,0,2,0,0,0,7,6.7,3.3,5.3,85.9,987.8,1017.9,9.2,16.5
LUBLIN-RADAWIEC,2018,2,5.4,-1.5,-17.1,-6.3,-4.1,-22.4,11.2,2.9,58.5,6,23,1,11,1,0,4,25,0,1,0,0,0,0,0,0,0,9,6.7,2.7,4.0,83.9,989.7,1020.3,5.8,5.4
LUBLIN-RADAWIEC,2018,3,14.7,3.6,-20.0,-4.3,-.6,-26.6,32.5,10.7,149.1,21,18,4,7,2,0,2,23,0,2,4,0,2,0,0,0,0,12,5.4,2.7,4.9,75.3,980.1,1010.0,15.4,17.1
LUBLIN-RADAWIEC,2018,4,27.1,19.5,-1.1,6.9,13.0,-4.4,46.7,15.4,280.2,0,0,6,2,1,0,0,6,0,0,0,0,0,3,0,4,14,2,3.7,3.3,9.8,65.9,986.5,1015.1,23.2,23.5
LUBLIN-RADAWIEC,2018,5,29.6,22.6,5.9,10.6,16.7,3.0,44.1,17.2,329.8,0,0,8,0,0,0,2,5,0,0,0,0,0,0,0,2,20,0,3.2,2.3,12.2,65.7,989.1,1017.5,36.3,7.8
LUBLIN-RADAWIEC,2018,6,31.1,24.3,5.1,12.5,18.3,2.3,65.4,21.3,264.6,0,0,14,0,0,0,3,6,0,0,0,0,0,1,0,5,8,0,4.5,2.2,13.6,66.0,986.3,1014.4,47.4,18.0
LUBLIN-RADAWIEC,2018,7,30.0,25.4,10.4,15.2,19.9,8.0,62.0,16.9,226.0,0,0,18,0,0,0,3,14,0,0,0,0,0,0,0,10,10,0,5.3,2.7,16.9,73.3,984.1,1012.0,36.7,25.3
LUBLIN-RADAWIEC,2018,8,31.9,26.7,8.6,14.4,20.2,6.0,25.6,8.3,286.9,0,0,7,0,0,0,6,15,0,0,0,0,0,1,0,6,25,0,3.2,2.2,16.3,70.9,989.4,1017.4,21.5,4.1
LUBLIN-RADAWIEC,2018,9,27.7,21.3,.1,10.1,15.3,-2.7,52.0,14.2,217.8,0,0,10,0,0,0,1,18,0,0,0,0,0,1,1,2,22,3,4.3,2.2,13.1,75.2,991.5,1020.1,18.5,33.5
LUBLIN-RADAWIEC,2018,10,22.2,15.8,-1.9,5.2,9.8,-4.0,36.5,9.1,173.9,0,0,8,0,0,0,7,18,0,0,0,0,1,1,0,0,17,1,4.1,2.7,9.4,78.4,990.3,1019.4,24.1,12.4
