Stacja,Rok,Mies,Sred_Temp,Sred_Wilgot,Sred_Pred_Wiatr,Sred_Zachmurz,Abs_Temp_Max,Srd_Temp_Max,Abs_Temp_Min,Sred_Temp_Min,Min_Temp_Grunt,Suma_Opadow,Max_Opad,Maks_Snieg,Dni_Zaspa,Dni_Deszcz,Dni_Snieg
PU£AWY,2018,1,.6,84.0,2.9,6.7,10.1,3.2,-8.8,-1.4,-11.4,18.6,4.7,5,10,10,8
PU£AWY,2018,2,-3.2,83.9,2.1,6.5,5.6,-.3,-15.5,-5.3,-21.5,17.1,5.6,8,22,1,9
PU£AWY,2018,3,.3,75.9,2.4,5.5,16.4,4.9,-19.6,-3.4,-23.5,31.2,13.8,16,14,3,6
PU£AWY,2018,4,13.9,65.1,3.0,3.7,28.6,20.7,-.8,7.8,-4.9,29.8,13.0,0,0,6,2
PU£AWY,2018,5,17.8,64.3,2.5,3.2,30.6,24.0,7.1,11.5,3.8,59.4,20.5,0,0,9,0
PU£AWY,2018,6,19.6,63.5,1.9,4.8,33.2,25.6,7.4,13.6,6.5,38.1,9.6,0,0,12,0
PU£AWY,2018,7,21.1,71.5,2.0,5.5,31.3,26.3,10.8,16.2,9.6,122.5,29.4,0,0,17,0
PU£AWY,2018,8,21.0,71.3,1.7,3.5,33.8,27.3,9.8,15.6,8.9,27.7,12.0,0,0,10,0
PU£AWY,2018,9,15.5,78.9,2.1,4.3,29.3,22.4,.7,10.9,.5,48.0,20.6,0,0,11,0
PU£AWY,2018,10,10.0,83.4,2.3,4.3,23.7,16.7,.4,5.7,-1.6,40.5,10.6,0,0,10,0
PU£AWY,2018,11,4.2,87.2,3.4,4.9,20.2,8.2,-7.7,1.8,-12.1,8.9,4.6,4,2,3,1
PU£AWY,2018,12,.9,89.3,4.9,7.0,8.5,2.9,-12.3,-.9,-17.0,61.0,10.4,5,10,16,9
PU£AWY,2019,1,-2.4,86.6,4.5,7.2,6.5,.1,-10.6,-4.5,-18.0,62.0,8.0,24,29,3,18
PU£AWY,2019,2,2.9,80.8,4.2,5.7,14.1,6.9,-7.6,.2,-9.6,15.2,10.0,6,4,6,2
PU£AWY,2019,3,5.7,74.4,4.8,5.7,18.6,10.9,-5.7,1.9,-8.6,20.9,4.4,0,0,10,2
PU£AWY,2019,4,10.1,57.8,5.1,4.0,26.8,15.8,-1.0,4.8,-5.1,39.3,21.0,0,0,8,0
PU£AWY,2019,5,13.9,75.6,4.3,6.2,25.8,18.9,.4,9.5,-3.6,69.0,14.8,0,0,16,0
PU£AWY,2019,6,22.7,63.1,3.9,3.6,34.2,28.8,11.3,16.4,8.1,36.7,16.0,0,0,6,0
PU£AWY,2019,7,19.4,65.6,4.0,5.1,35.0,25.1,8.8,13.8,4.1,70.6,31.2,0,0,14,0
PU£AWY,2019,8,20.4,71.7,2.3,3.9,32.3,26.7,10.2,14.8,7.3,94.3,37.0,0,0,11,0
PU£AWY,2019,9,14.4,79.3,2.3,4.7,30.5,20.2,2.6,10.2,-.8,57.8,17.6,0,0,16,0
PU£AWY,2019,10,10.8,84.6,2.2,4.5,24.3,16.9,-1.4,7.1,-6.6,33.5,10.8,0,0,8,0
PU£AWY,2019,11,6.4,88.6,3.0,6.5,17.0,9.8,-4.0,4.0,-7.6,31.4,14.9,0,0,14,0
PU£AWY,2019,12,3.1,85.9,2.8,6.3,12.6,5.5,-4.0,1.0,-8.6,47.9,30.4,0,0,11,3
PU£AWY,2020,1,1.7,84.9,2.6,5.8,8.7,4.6,-4.6,-.5,-8.1,27.1,7.4,0,0,6,5
PU£AWY,2020,2,3.3,80.9,2.9,6.0,11.9,6.8,-5.4,.7,-9.1,55.6,11.5,0,0,13,3
PU£AWY,2020,3,4.6,69.3,3.0,4.5,17.7,10.4,-6.9,.2,-10.8,16.7,6.0,2,1,7,3
PU£AWY,2020,4,8.9,68.8,2.6,3.2,24.0,15.9,-5.1,1.8,-10.0,14.4,8.4,0,0,2,0
PU£AWY,2020,5,11.9,81.9,2.9,5.4,26.3,17.5,1.1,6.4,-2.0,93.9,28.5,0,0,14,0
PU£AWY,2020,6,19.1,86.2,2.5,5.6,30.4,24.4,6.2,14.3,4.5,159.0,36.4,0,0,20,0
PU£AWY,2020,7,19.3,85.1,2.3,4.8,29.8,25.1,8.8,13.5,5.8,31.9,15.1,0,0,8,0
PU£AWY,2020,8,20.3,86.9,2.1,4.3,31.9,26.8,10.7,14.7,7.0,95.5,39.0,0,0,12,0
PU£AWY,2020,9,14.9,89.9,2.0,4.3,28.4,21.5,4.0,9.9,.2,102.4,38.0,0,0,12,0
PU£AWY,2020,10,10.4,94.6,2.3,6.2,24.3,14.7,1.2,7.5,-4.0,89.7,26.3,0,0,19,0
PU£AWY,2020,11,5.1,93.9,2.1,6.6,16.2,7.9,-4.5,2.8,-7.8,14.3,5.7,3,1,11,2
PU£AWY,2020,12,1.6,90.5,3.0,6.7,10.3,3.9,-5.2,-.5,-10.6,19.0,5.5,0,0,6,2
PU£AWY,2021,1,-1.4,88.0,2.5,7.0,8.7,1.4,-19.5,-4.0,-26.8,50.8,11.8,25,19,6,15
PU£AWY,2021,2,-2.7,81.1,2.8,5.8,14.4,1.7,-16.2,-6.3,-25.0,37.6,12.1,18,23,3,10
PU£AWY,2021,3,2.8,84.8,2.5,5.7,20.4,7.5,-7.1,-1.1,-10.8,12.3,3.4,3,3,5,6
PU£AWY,2021,4,6.9,81.5,3.0,5.4,21.3,12.3,-3.8,2.1,-8.7,49.9,14.2,0,0,10,5
PU£AWY,2021,5,12.9,80.0,2.7,5.5,26.1,18.3,.1,7.5,-3.0,60.9,11.6,0,0,19,0
PU£AWY,2021,6,20.0,77.9,2.2,4.1,33.4,25.8,4.4,13.0,1.1,52.6,20.2,0,0,9,0
PU£AWY,2021,7,22.3,82.0,2.4,4.9,32.5,28.0,14.1,16.8,10.1,109.5,31.1,0,0,12,0
PU£AWY,2021,8,17.0,89.4,2.2,5.6,29.9,21.9,7.4,12.5,4.4,250.2,70.0,0,0,19,0
PU£AWY,2021,9,12.9,90.6,2.1,4.6,25.9,18.7,3.1,8.2,-.3,77.6,42.5,0,0,10,0
PU£AWY,2021,10,8.7,87.6,2.7,4.0,21.5,14.7,-2.3,4.4,-5.6,5.0,3.1,0,0,4,0
PU£AWY,2021,11,4.8,91.0,2.7,5.9,15.2,8.3,-2.6,1.7,-5.1,35.2,8.5,0,0,13,3
PU£AWY,2021,12,-1.3,87.8,2.6,6.5,10.6,1.3,-14.2,-4.1,-15.1,25.2,7.1,5,11,8,9
PU£AWY,2022,1,.1,89.7,3.2,6.3,10.4,2.8,-11.5,-2.7,-12.3,41.8,9.0,2,16,6,14
PU£AWY,2022,2,2.6,86.0,3.2,5.3,10.8,6.4,-5.5,-.7,-7.7,39.7,9.7,6,3,9,7
PU£AWY,2022,3,2.6,79.3,2.4,3.7,19.6,8.7,-9.5,-2.5,-13.3,19.3,8.1,3,3,0,5
PU£AWY,2022,4,6.7,83.4,2.5,5.9,20.1,11.3,-3.8,2.2,-5.3,50.8,17.0,23,5,13,3
PU£AWY,2022,5,14.1,73.6,2.4,4.4,27.3,20.5,2.6,6.9,-1.4,29.1,11.8,0,0,10,0
