Rzeka,Rok,Ekst,Stan_Wody,Przeplyw,Mies_Kalendarz
Wieprz (24),2018,1,335,10.200,1
Wieprz (24),2018,2,354,13.100,1
Wieprz (24),2018,3,391,16.700,1
Wieprz (24),2018,1,318,7.510,2
Wieprz (24),2018,2,347,12.500,2
Wieprz (24),2018,3,375,17.100,2
Wieprz (24),2018,1,328,7.520,3
Wieprz (24),2018,2,352,12.900,3
Wieprz (24),2018,3,391,19.500,3
Wieprz (24),2018,1,322,8.420,4
Wieprz (24),2018,2,360,14.900,4
Wieprz (24),2018,3,417,23.700,4
Wieprz (24),2018,1,311,6.340,5
Wieprz (24),2018,2,317,7.500,5
Wieprz (24),2018,3,327,9.420,5
Wieprz (24),2018,1,306,5.510,6
Wieprz (24),2018,2,310,6.210,6
Wieprz (24),2018,3,315,7.080,6
Wieprz (24),2018,1,305,5.350,7
Wieprz (24),2018,2,311,6.390,7
Wieprz (24),2018,3,318,7.620,7
Wieprz (24),2018,1,303,5.050,8
Wieprz (24),2018,2,308,5.850,8
Wieprz (24),2018,3,316,7.270,8
Wieprz (24),2018,1,302,4.900,9
Wieprz (24),2018,2,305,5.360,9
Wieprz (24),2018,3,311,6.340,9
Wieprz (24),2018,1,309,6.000,10
Wieprz (24),2018,2,316,7.180,10
Wieprz (24),2018,3,326,9.220,10
Wieprz (24),2018,1,302,4.890,11
Wieprz (24),2018,2,314,6.840,11
Wieprz (24),2018,3,335,9.220,11
Wieprz (24),2018,1,310,4.920,12
Wieprz (24),2018,2,323,7.840,12
Wieprz (24),2018,3,343,12.500,12
Wieprz (24),2019,1,322,8.400,1
Wieprz (24),2019,2,343,10.100,1
Wieprz (24),2019,3,365,14.000,1
Wieprz (24),2019,1,322,8.420,2
Wieprz (24),2019,2,332,10.400,2
Wieprz (24),2019,3,344,12.700,2
Wieprz (24),2019,1,322,8.420,3
Wieprz (24),2019,2,329,9.890,3
Wieprz (24),2019,3,336,11.200,3
Wieprz (24),2019,1,307,5.670,4
Wieprz (24),2019,2,313,6.820,4
Wieprz (24),2019,3,328,9.620,4
Wieprz (24),2019,1,311,6.340,5
Wieprz (24),2019,2,329,9.560,5
Wieprz (24),2019,3,381,18.000,5
Wieprz (24),2019,1,296,4.090,6
Wieprz (24),2019,2,305,5.530,6
Wieprz (24),2019,3,327,9.420,6
Wieprz (24),2019,1,295,3.970,7
Wieprz (24),2019,2,299,4.470,7
Wieprz (24),2019,3,305,5.350,7
Wieprz (24),2019,1,298,4.350,8
Wieprz (24),2019,2,306,5.510,8
Wieprz (24),2019,3,313,6.700,8
Wieprz (24),2019,1,294,3.850,9
Wieprz (24),2019,2,300,4.630,9
Wieprz (24),2019,3,309,6.000,9
Wieprz (24),2019,1,298,4.350,10
Wieprz (24),2019,2,301,4.790,10
Wieprz (24),2019,3,304,5.200,10
Wieprz (24),2019,1,296,4.090,11
Wieprz (24),2019,2,304,5.140,11
Wieprz (24),2019,3,309,6.000,11
Wieprz (24),2019,1,298,4.350,12
Wieprz (24),2019,2,305,5.470,12
