Kod,DataKod,Rok,Miesiac,Dzien,Rok_Prod,Waga,Wilg,Olej
190525,2019-05,19,5,25,18,2174,6.27199946299261,2.475
190529,2019-05,19,5,29,18,1351.8,6.27199946299261,2.37
190530,2019-05,19,5,30,18,1820.4,6.27199946299261,2.37
190531,2019-05,19,5,31,18,1075.4,6.27199946299261,2.32
190601,2019-06,19,6,1,18,322.2,6.27199946299261,2.1
190603,2019-06,19,6,3,18,848.6,6.27199946299261,2.42
190604,2019-06,19,6,4,18,480.8,6.27199946299261,2.1
190606,2019-06,19,6,6,18,1221,6.27199946299261,1.65
190608,2019-06,19,6,8,18,733.6,6.27199946299261,1.73
190611,2019-06,19,6,11,18,862.6,6.27199946299261,1.74
190613,2019-06,19,6,13,18,995,6.27199946299261,2.3
190615,2019-06,19,6,15,18,1170.6,6.27199946299261,2.605
190618,2019-06,19,6,18,18,536.2,6.27199946299261,2.25
190619,2019-06,19,6,19,18,1107.2,6.27199946299261,2.3
190624,2019-06,19,6,24,18,2177.6,6.27199946299261,2.02
190629,2019-06,19,6,29,18,441,6.27199946299261,2.68
190703,2019-07,19,7,3,18,991.6,6.27199946299261,2.07
190705,2019-07,19,7,5,18,1218.8,6.27199946299261,1.4
190706,2019-07,19,7,6,18,1075.4,6.27199946299261,2.23
190716,2019-07,19,7,16,18,1197,6.27199946299261,1.56
190809,2019-08,19,8,9,18,917,6.27199946299261,2.44
190824,2019-08,19,8,24,18,648,6.27199946299261,2.82
190826,2019-08,19,8,26,18,627.4,6.27199946299261,2.82
190827,2019-08,19,8,27,18,1169.2,6.27199946299261,2.46
190828,2019-08,19,8,28,18,673.8,6.27199946299261,2.82
190829,2019-08,19,8,29,18,696.8,6.27199946299261,2.82
190830,2019-08,19,8,30,18,623.7,6.27199946299261,2.82
190831,2019-08,19,8,31,18,934,6.27199946299261,2.82
190902,2019-09,19,9,2,18,714.8,6.27199946299261,2.82
190903,2019-09,19,9,3,18,607.2,6.27199946299261,2.82
190904,2019-09,19,9,4,18,835.1,6.27199946299261,2.82
190905,2019-09,19,9,5,18,590.6,6.27199946299261,2.82
190910,2019-09,19,9,10,18,1355.1,6.27199946299261,2.82
190912,2019-09,19,9,12,18,322.6,6.27199946299261,2.82
190916,2019-09,19,9,16,19,854.5,6.27199946299261,2.745
190917,2019-09,19,9,17,19,1031,6.27199946299261,2.51
190918,2019-09,19,9,18,19,1185,6.27199946299261,2.53
190919,2019-09,19,9,19,19,1388.7,6.27199946299261,2.67
190920,2019-09,19,9,20,19,1270.4,6.27199946299261,2.445
190921,2019-09,19,9,21,19,2022.8,6.27199946299261,2.43333333333333
190923,2019-09,19,9,23,19,3009.3,6.27199946299261,2.9
190924,2019-09,19,9,24,19,1875.6,6.27199946299261,2.92
190925,2019-09,19,9,25,19,1742.6,6.27199946299261,2.795
190926,2019-09,19,9,26,19,2797.4,6.27199946299261,2.57666666666667
190927,2019-09,19,9,27,19,2229,6.27199946299261,2.64333333333333
190928,2019-09,19,9,28,19,1176,6.27199946299261,2.675
190930,2019-09,19,9,30,19,1851,6.27199946299261,2.35
191001,2019-10,19,10,1,19,2802.6,6.27199946299261,2.74
