Kilo,Data
341,19.06.2018
"1712,5",23.01.2019
546,30.01.2019
"1080,5",31.01.2019
"821,5",1.02.2019
1327,1.02.2019
"4193,5",4.02.2019
676,4.02.2019
"1013,5",5.02.2019
"3447,5",6.02.2019
"1155,5",6.02.2019
"2577,5",6.02.2019
"621,5",7.02.2019
"1017,5",7.02.2019
907,7.02.2019
467,8.02.2019
1362,8.02.2019
"1231,5",9.02.2019
643,9.02.2019
322,11.02.2019
"810,5",11.02.2019
694,13.02.2019
"900,5",13.02.2019
"2166,5",13.02.2019
743,14.02.2019
2762,14.02.2019
1197,14.02.2019
1892,14.02.2019
"9159,5",15.02.2019
530,15.02.2019
737,15.02.2019
559,16.02.2019
"712,5",16.02.2019
981,16.02.2019
"1439,5",16.02.2019
"2961,5",19.02.2019
590,19.02.2019
988,20.02.2019
1159,20.02.2019
822,21.02.2019
918,21.02.2019
556,21.02.2019
"3645,5",22.02.2019
"1934,5",22.02.2019
496,22.02.2019
"828,5",22.02.2019
"836,5",23.02.2019
1700,23.02.2019
1125,23.02.2019
1156,23.02.2019
754,25.02.2019
687,26.02.2019
969,27.02.2019
840,27.02.2019
"681,5",27.02.2019
"4809,5",28.02.2019
"792,5",28.02.2019
678,1.03.2019
"2057,5",1.03.2019
"752,5",2.03.2019
1580,4.03.2019
"318,5",4.03.2019
1652,5.03.2019
"760,5",5.03.2019
828,5.03.2019
"778,5",6.03.2019
745,6.03.2019
"806,5",7.03.2019
"1186,5",7.03.2019
1655,8.03.2019
1156,8.03.2019
1954,8.03.2019
383,9.03.2019
730,9.03.2019
969,11.03.2019
"840,5",12.03.2019
3000,13.03.2019
2514,13.03.2019
1307,13.03.2019
"969,5",13.03.2019
"1021,5",13.03.2019
1073,14.03.2019
885,14.03.2019
2072,15.03.2019
"960,5",15.03.2019
2909,16.03.2019
1048,16.03.2019
"5226,5",18.03.2019
529,18.03.2019
"901,5",18.03.2019
"418,5",20.03.2019
518,20.03.2019
"1447,5",20.03.2019
2891,21.03.2019
"991,5",21.03.2019
"919,5",21.03.2019
2062,23.03.2019
940,23.03.2019
924,26.03.2019
"2594,5",26.03.2019
638,26.03.2019
"1908,5",27.03.2019
"225,5",27.03.2019
1099,27.03.2019
"1652,5",28.03.2019
567,28.03.2019
839,28.03.2019
1788,28.03.2019
"2410,5",29.03.2019
"834,5",29.03.2019
"2200,5",30.03.2019
1668,30.03.2019
832,30.03.2019
3131,1.04.2019
1072,1.04.2019
"736,5",1.04.2019
295,2.04.2019
1588,2.04.2019
936,3.04.2019
722,3.04.2019
"2206,5",3.04.2019
"657,5",4.04.2019
1154,4.04.2019
1074,5.04.2019
1374,5.04.2019
632,6.04.2019
"1197,5",6.04.2019
459,6.04.2019
2324,8.04.2019
"746,5",8.04.2019
1571,8.04.2019
"1052,5",8.04.2019
2321,9.04.2019
804,9.04.2019
"1982,5",9.04.2019
886,10.04.2019
679,10.04.2019
1227,10.04.2019
1261,11.04.2019
3683,11.04.2019
"1742,5",11.04.2019
"604,5",12.04.2019
4635,12.04.2019
1355,12.04.2019
543,13.04.2019
"859,5",13.04.2019
964,13.04.2019
"700,5",15.04.2019
"358,5",16.04.2019
"1217,5",16.04.2019
"986,5",17.04.2019
596,23.04.2019
1497,23.04.2019
672,23.04.2019
"461,5",24.04.2019
"1102,5",25.04.2019
2552,26.04.2019
"992,5",26.04.2019
635,27.04.2019
"2249,5",27.04.2019
"629,5",27.04.2019
1883,27.04.2019
"1644,5",29.04.2019
2869,29.04.2019
1033,29.04.2019
"701,5",30.04.2019
"519,5",1.05.2019
"1771,5",1.05.2019
"496,5",2.05.2019
600,2.05.2019
"3459,5",2.05.2019
"438,5",6.05.2019
842,6.05.2019
192,7.05.2019
412,7.05.2019
"347,5",9.05.2019
905,9.05.2019
876,9.05.2019
373,9.05.2019
430,9.05.2019
"775,5",10.05.2019
471,10.05.2019
957,10.05.2019
2754,11.05.2019
726,13.05.2019
"1730,5",13.05.2019
"1123,5",14.05.2019
870,15.05.2019
1429,16.05.2019
310,17.05.2019
"441,5",17.05.2019
"1485,5",18.05.2019
"1755,5",18.05.2019
"613,5",20.05.2019
2059,20.05.2019
"658,5",20.05.2019
"633,5",21.05.2019
"1560,5",21.05.2019
638,22.05.2019
883,22.05.2019
423,23.05.2019
400,23.05.2019
396,24.05.2019
"1102,5",24.05.2019
"452,5",25.05.2019
723,25.05.2019
1369,25.05.2019
"456,5",27.05.2019
1019,27.05.2019
949,27.05.2019
"2113,5",28.05.2019
6038,29.05.2019
548,30.05.2019
1209,30.05.2019
2000,31.05.2019
