Kod,Waga,Waga_Pz,Wilg,Piach,Olej
T19052531,"752,6",,,"6,96","2,89"
T19052541,"1421,4",,,"6,90","2,06"
T19052931,"1351,8",,,"7,27","2,37"
T19053031,"1247,8",,,"7,27","2,37"
T19053041,"572,6",,,"7,27","2,37"
T19053131,"312,4",,,"7,27","2,37"
T19053141,763,,,"7,54","2,27"
T19060141,"322,2",,,"7,54","2,10"
T19060331,"848,6",,,"7,54","2,42"
T19060441,"480,8",,,"7,54","2,10"
T19060631,1221,,,,"1,65"
T19060831,"733,6",,,,"1,73"
T19061131,"862,6",,,,"1,74"
T19061341,995,,,,"2,30"
T19061531,"171,8",,,,"2,60"
T19061541,"998,8",,,,"2,61"
T19061841,"536,2",,,,"2,25"
T19061941,"1107,2",,,,"2,30"
T19062441,"2177,6",,,,"2,02"
T19062941,441,,,,"2,68"
T19070331,"991,6",,,,"2,07"
T19070531,"1218,8",,,,"1,40"
T19070631,"1075,4",,,,"2,23"
T19071651,1197,,,,"1,56"
T19080951,917,,,,"2,44"
T19082441,648,648,,"4,01","2,82"
T19082631,"627,4","627,4",,"4,01","2,82"
T19082731,584,"871,2",,"4,01","2,82"
T19082741,"585,2",,,,"2,10"
T19082831,"673,8","673,8",,"4,01","2,82"
T19082931,"696,8","696,8",,"4,01","2,82"
T19083031,"623,7","623,7",,"4,01","2,82"
T19083131,934,"775,3",,"4,01","2,82"
T19090231,"714,8","714,8",,"4,01","2,82"
T19090331,"607,2","607,2",,"4,01","2,82"
T19090431,"835,1","706,8",,"4,01","2,82"
T19090531,"590,6","590,6",,"4,01","2,82"
T19091031,"612,9","577,5",,"8,76","2,82"
T19091041,"742,2","742,2",,"4,01","2,82"
T19091231,"322,6","395,4",,"8,76","2,82"
T19091631,365,343,,"9,03","2,87"
T19091641,"489,5","462,3",,"8,23","2,62"
T19091731,"426,4","602,1",,"7,57","2,90"
T19091741,"604,6","582,9",,,"2,12"
T19091831,"877,2","834,5",,"8,88","2,77"
T19091841,"307,8",290,,"10,16","2,29"
T19091931,"681,5","562,1",,"9,65","2,49"
T19091941,"707,2","668,6",,"7,54","2,85"
T19092041,"401,2","369,4",,"10,39","2,07"
T19092051,"869,2","621,5",,"6,65","2,82"
T19092131,"716,8",811,,"8,45","2,70"
T19092141,908,"878,9",,"5,43","2,19"
T19092151,398,"366,3",,"8,48","2,41"
T19092331,"1255,5","1196,7",,"9,35","2,78"
T19092341,"1044,8","980,1",,"8,41","2,75"
T19092351,709,"807,6",,"5,85","3,17"
T19092431,"684,2","785,3",,"5,87","3,25"
T19092441,"643,4","647,3",,"6,83","2,69"
T19092451,548,512,,"6,58","2,82"
T19092541,"726,6","726,6",,"5,68","2,65"
T19092551,1016,"815,3",,"6,60","2,94"
T19092631,"1137,2","1003,4",,"5,03","3,21"
T19092641,"859,2","753,7",,"7,39","2,51"
T19092651,801,"746,8",,"6,44","2,01"
T19092731,725,"680,8",,"7,29","2,64"
T19092741,714,"673,2",,"8,74","2,23"
T19092751,790,727,,"6,89","3,06"
T19092831,754,754,,"8,58","2,73"
T19092851,422,"377,2",,"8,09","2,62"
T19093031,"837,4","837,4",,,"2,43"
T19093041,"672,6","779,4",,,"1,72"
T19093051,341,314,,"7,42","2,90"
T19100131,"951,8","829,8",,,"2,95"
T19100141,"749,8","694,8",,,"2,79"
T19100151,525,479,,,"2,61"
T19100161,576,"529,5",,"6,99","2,61"
T19100231,"562,8","519,8",,"6,99","2,70"
T19100241,"656,6","607,6",,"6,99","2,03"
T19100251,776,,,,"2,72"
T19100261,449,404,,,"2,82"
T19100331,684,"516,5",,"6,99","2,49"
T19100341,"663,8","796,8",,"5,77","2,45"
T19100351,529,"490,5",,"6,99","3,02"
T19100361,368,"335,2",,,"1,75"
T19100431,"753,8","805,1",,"6,49","3,06"
T19100451,607,"566,5",,"5,77","2,36"
T19100461,666,"617,5",,"5,77","2,71"
T19100531,"563,8","532,6",,"6,99","2,58"
