Stacja,Rok,Mies,Zachmurz,Wiatr,Sred_Temp,Sred_Cisnienie_Pary,Sred_Wilgot,Sred_Cisn,Sred_Cisn_PoziomMorza,Suma_Opadu_Dzien,Suma_Opadu_Noc
LUBLIN-RADAWIEC,2018,1,6.7,3.3,-.3,5.3,85.9,987.8,1017.9,9.2,16.5
LUBLIN-RADAWIEC,2018,2,6.7,2.7,-4.1,4.0,83.9,989.7,1020.3,5.8,5.4
LUBLIN-RADAWIEC,2018,3,5.4,2.7,-.6,4.9,75.3,980.1,1010.0,15.4,17.1
LUBLIN-RADAWIEC,2018,4,3.7,3.3,13.0,9.8,65.9,986.5,1015.1,23.2,23.5
LUBLIN-RADAWIEC,2018,5,3.2,2.3,16.7,12.2,65.7,989.1,1017.5,36.3,7.8
LUBLIN-RADAWIEC,2018,6,4.5,2.2,18.3,13.6,66.0,986.3,1014.4,47.4,18.0
LUBLIN-RADAWIEC,2018,7,5.3,2.7,19.9,16.9,73.3,984.1,1012.0,36.7,25.3
LUBLIN-RADAWIEC,2018,8,3.2,2.2,20.2,16.3,70.9,989.4,1017.4,21.5,4.1
LUBLIN-RADAWIEC,2018,9,4.3,2.2,15.3,13.1,75.2,991.5,1020.1,18.5,33.5
LUBLIN-RADAWIEC,2018,10,4.1,2.7,9.8,9.4,78.4,990.3,1019.4,24.1,12.4
LUBLIN-RADAWIEC,2018,11,5.0,2.8,3.4,7.7,88.8,995.5,1025.4,3.9,4.7
LUBLIN-RADAWIEC,2018,12,7.2,3.4,.1,5.8,91.1,987.9,1018.0,37.3,31.2
LUBLIN-RADAWIEC,2019,1,7.1,3.4,-3.4,4.3,87.7,980.8,1011.1,23.3,22.8
LUBLIN-RADAWIEC,2019,2,5.8,3.6,2.1,5.8,80.5,991.7,1021.7,6.8,8.9
LUBLIN-RADAWIEC,2019,3,5.5,3.8,4.9,6.4,72.9,985.7,1015.1,9.2,12.9
LUBLIN-RADAWIEC,2019,4,4.0,3.4,9.4,7.1,59.5,989.6,1018.7,13.2,19.1
LUBLIN-RADAWIEC,2019,5,6.0,2.9,12.8,11.9,78.5,983.5,1012.1,56.4,45.1
LUBLIN-RADAWIEC,2019,6,3.2,2.6,21.3,17.4,69.5,989.7,1017.7,19.4,.1
LUBLIN-RADAWIEC,2019,7,4.8,2.8,18.3,13.8,66.5,984.4,1012.5,25.7,4.0
LUBLIN-RADAWIEC,2019,8,3.8,2.0,19.7,15.7,70.1,989.2,1017.3,16.1,66.9
LUBLIN-RADAWIEC,2019,9,4.8,2.7,14.1,12.4,77.5,989.1,1017.7,7.8,41.7
LUBLIN-RADAWIEC,2019,10,4.3,2.1,10.5,10.6,82.4,988.0,1017.0,6.9,24.0
LUBLIN-RADAWIEC,2019,11,6.8,3.4,5.9,8.7,90.8,983.2,1012.5,42.5,16.2
LUBLIN-RADAWIEC,2019,12,6.5,3.4,2.4,6.5,87.3,984.8,1014.6,16.2,25.5
LUBLIN-RADAWIEC,2020,1,6.2,3.2,.9,5.7,87.0,992.9,1023.0,12.7,15.1
LUBLIN-RADAWIEC,2020,2,6.0,3.8,2.6,6.2,82.2,983.0,1012.7,25.0,31.1
LUBLIN-RADAWIEC,2020,3,4.4,3.2,4.2,5.7,68.2,989.4,1019.1,11.8,6.2
LUBLIN-RADAWIEC,2020,4,2.9,3.0,8.4,5.5,50.6,989.1,1018.4,2.8,18.6
LUBLIN-RADAWIEC,2020,5,5.5,3.1,10.8,9.4,73.3,987.5,1016.4,49.9,46.4
LUBLIN-RADAWIEC,2020,6,5.4,2.4,18.3,17.1,81.1,983.1,1011.1,100.1,40.0
LUBLIN-RADAWIEC,2020,7,4.6,2.2,18.5,15.3,73.3,987.3,1015.5,20.1,11.7
LUBLIN-RADAWIEC,2020,8,3.9,2.2,19.9,15.9,70.6,986.3,1014.3,22.0,20.4
LUBLIN-RADAWIEC,2020,9,4.1,2.0,15.0,13.5,80.6,989.1,1017.7,70.4,65.3
LUBLIN-RADAWIEC,2020,10,6.2,2.4,10.3,11.3,89.7,985.2,1014.2,39.2,47.4
LUBLIN-RADAWIEC,2020,11,6.5,2.4,4.6,7.8,90.3,995.8,1025.7,11.0,4.2
LUBLIN-RADAWIEC,2020,12,6.9,3.7,1.1,6.1,91.3,986.9,1016.9,13.8,12.8
LUBLIN-RADAWIEC,2021,1,6.7,3.1,-2.0,5.0,89.0,980.9,1011.1,28.7,17.5
LUBLIN-RADAWIEC,2021,2,6.0,3.4,-3.1,4.5,85.0,991.0,1021.5,24.3,10.2
LUBLIN-RADAWIEC,2021,3,.0,3.3,2.4,5.7,77.3,989.8,1019.7,3.1,7.6
LUBLIN-RADAWIEC,2021,4,5.4,3.5,6.0,6.6,72.1,986.3,1015.7,13.4,23.4
LUBLIN-RADAWIEC,2021,5,5.3,3.3,12.1,9.9,71.2,983.5,1012.2,27.6,17.7
LUBLIN-RADAWIEC,2021,6,3.6,2.2,19.1,14.9,68.0,988.9,1017.0,34.9,29.5
LUBLIN-RADAWIEC,2021,7,4.5,2.4,21.6,18.7,74.1,985.9,1013.7,35.2,47.5
LUBLIN-RADAWIEC,2021,8,5.4,2.2,16.6,15.4,82.3,985.7,1014.0,114.5,88.4
LUBLIN-RADAWIEC,2021,9,4.6,2.7,12.7,11.9,81.2,990.2,1019.0,31.7,27.4
LUBLIN-RADAWIEC,2021,10,4.2,2.8,8.6,8.3,74.1,993.0,1022.4,1.4,3.2
LUBLIN-RADAWIEC,2021,11,5.9,3.3,4.6,7.4,87.6,986.4,1016.0,8.8,20.0
LUBLIN-RADAWIEC,2021,12,.0,3.5,-1.5,5.1,88.6,985.1,1015.3,13.6,5.8
LUBLIN-RADAWIEC,2022,1,.0,4.5,-.2,5.3,85.0,987.2,1017.3,27.3,11.3
LUBLIN-RADAWIEC,2022,2,.0,4.2,2.2,5.8,81.1,984.9,1014.7,26.6,8.2
LUBLIN-RADAWIEC,2022,3,.0,2.8,2.4,4.7,65.2,997.6,1027.8,1.0,13.5
LUBLIN-RADAWIEC,2022,4,.0,3.1,6.1,7.2,76.9,983.8,1013.1,28.7,16.9
LUBLIN-RADAWIEC,2022,5,.0,2.7,13.2,9.9,66.3,988.8,1017.5,14.2,10.9
LUBLIN-RADAWIEC,2022,6,.0,2.4,18.8,14.8,70.4,988.1,1016.3,32.4,1.6
LUBLIN-RADAWIEC,2022,7,.0,.0,18.8,15.0,70.8,988.8,1017.0,24.5,58.2
LUBLIN-RADAWIEC,2022,8,.0,2.0,20.7,16.8,70.4,988.5,1016.5,13.4,14.3
LUBLIN-RADAWIEC,2022,9,.0,2.4,11.6,10.6,79.5,984.7,1013.5,33.2,25.9
LUBLIN-RADAWIEC,2022,10,.0,2.5,10.5,10.8,84.5,992.2,1021.3,9.6,10.5
LUBLIN-RADAWIEC,2022,11,.0,2.3,3.5,7.4,90.8,989.5,1019.2,17.6,9.9
LUBLIN-RADAWIEC,2022,12,.0,3.2,-.4,5.4,89.1,987.4,1017.5,27.2,31.7
LUBLIN-RADAWIEC,2023,1,.0,3.1,2.2,6.5,89.8,987.3,1017.1,31.1,37.6
LUBLIN-RADAWIEC,2023,2,.0,3.9,.5,5.3,80.7,992.2,1022.4,14.3,23.0
LUBLIN-RADAWIEC,2023,3,.0,3.4,4.3,6.4,75.0,981.4,1010.9,25.6,10.9
LUBLIN-RADAWIEC,2023,4,.0,2.9,8.1,8.0,74.4,986.5,1015.7,29.8,32.7
LUBLIN-RADAWIEC,2023,5,.0,2.3,12.7,9.5,65.7,992.5,1021.4,48.6,23.0
LUBLIN-RADAWIEC,2023,6,.0,.0,17.1,13.9,72.1,988.1,1016.5,12.8,25.6
LUBLIN-RADAWIEC,2023,7,.0,.0,19.5,15.5,71.1,984.8,1012.8,46.6,41.1
LUBLIN-RADAWIEC,2023,8,.0,2.0,20.3,17.6,75.1,986.0,1013.9,29.4,39.2
LUBLIN-RADAWIEC,2023,9,.0,1.9,17.4,15.2,77.9,991.9,1020.3,29.0,4.2
LUBLIN-RADAWIEC,2023,10,.0,2.8,10.9,11.2,84.9,983.7,1012.5,36.8,37.1
LUBLIN-RADAWIEC,2023,11,.0,3.3,3.3,7.0,87.1,977.9,1007.3,30.2,21.0
LUBLIN-RADAWIEC,2023,12,.0,3.8,.8,6.0,89.8,982.9,1012.8,23.8,19.8
LUBLIN-RADAWIEC,2024,1,.0,4.0,-1.4,5.1,86.0,986.7,1016.9,30.5,25.0
LUBLIN-RADAWIEC,2024,2,.0,3.6,5.5,7.9,86.1,983.4,1012.8,32.1,21.5
LUBLIN-RADAWIEC,2024,3,.0,3.0,5.6,7.4,82.5,984.7,1014.1,20.8,26.1
LUBLIN-RADAWIEC,2024,4,.0,3.0,10.5,9.1,72.9,985.8,1014.7,8.4,14.5
LUBLIN-RADAWIEC,2024,5,.0,2.1,15.9,10.6,59.9,988.4,1016.9,9.5,7.6
LUBLIN-RADAWIEC,2024,6,.0,.0,18.8,.0,75.4,.0,.0,73.1,22.4
